year,country,"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Grants and other revenue (% of revenue),Taxes on goods and services (% of revenue),Taxes on international trade (% of revenue),Other taxes (% of revenue),Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Compensation of employees (% of expense),Goods and services expense (% of expense),Interest payments (% of revenue),Interest payments (% of expense),Other expense (% of expense),Subsidies and other transfers (% of expense),CPIA business regulatory environment rating (1=low to 6=high),CPIA debt policy rating (1=low to 6=high),CPIA economic management cluster average (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),CPIA quality of budgetary and financial management rating (1=low to 6=high),CPIA financial sector rating (1=low to 6=high),CPIA fiscal policy rating (1=low to 6=high),CPIA gender equality rating (1=low to 6=high),CPIA building human resources rating (1=low to 6=high),IDA resource allocation index (1=low to 6=high),CPIA macroeconomic management rating (1=low to 6=high),CPIA quality of public administration rating (1=low to 6=high),CPIA equity of public resource use rating (1=low to 6=high),CPIA property rights and rule-based governance rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),CPIA public sector management and institutions cluster average (1=low to 6=high),CPIA efficiency of revenue mobilization rating (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),CPIA trade rating (1=low to 6=high),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Armed forces personnel, total",Armed forces personnel (% of total labor force),Military expenditure (current USD),Military expenditure (% of GDP),Military expenditure (% of general government expenditure),"Internally displaced persons, new displacement associated with disasters (number of cases)","Intentional homicides, female (per 100,000 female)","Intentional homicides, male (per 100,000 male)","Intentional homicides (per 100,000 people)"
1961,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237368366.891915,2.46907706945766,,,,,
1961,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160930923.495915,3.52744729701524,,,,,
1961,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97313432.8358209,2.1432563032116,,,,,
1961,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1961,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3074753151.23869,3.73990627566646,,,,,
1961,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170837712.859447,2.58681164503683,,,,,
1961,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36300000.0,5.229793977813,,,,,
1961,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45978780.8938923,1.92372881355932,,,,,
1961,EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2603627004.06658,2.26002830479858,,,,,
1961,ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76454293628809,,,,,
1961,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26231416287057,,,,,
1961,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18700000.0,2.04676698378785,,,,,
1961,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9315935463.30522,3.70668878413083,,,,,
1961,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239348772.068642,2.03124482602107,,,,,
1961,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18555265.3080939,1.85587761674718,,,,,
1961,EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14871176244.4079,3.68118403393371,,,,,
1961,FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31878346959141,,,,,
1961,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105350974.821674,1.8361815196588,,,,,
1961,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3469940419.47309,5.29560753876716,,,,,
1961,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5308314126.28105,6.92138752285922,,,,,
1961,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27454210.2992509,2.10300429184549,,,,,
1961,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167762365.801466,4.24357000022985,,,,,
1961,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12084076.433121,1.12222106548301,,,,,
1961,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3830000.0,1.07584269662921,,,,,
1961,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
1961,IBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10822545324298,,,,,
1961,IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13691105384153,,,,,
1961,IDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239281198.434815,2.21370641873462,,,,,
1961,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748388248.388248,2.07435972060536,,,,,
1961,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27564733.0190219,1.32014208497048,,,,,
1961,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105940594.059406,2.34664218166081,,,,,
1961,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125481949.80722,6.85139886867451,,,,,
1961,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241805555.555556,7.86501626310083,,,,,
1961,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062907313.20441,2.57386907530496,,,,,
1961,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55509977.7960089,16.5070774354704,,,,,
1961,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492361111.111111,0.916660202208259,,,,,
1961,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895999.641600143,0.112994350282486,,,,,
1961,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157061350.086544,6.72614962251201,,,,,
1961,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676552327.746258,1.77912521589662,,,,,
1961,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27837147.8129811,,,,,,
1961,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7167997.13280115,1.85507246376812,,,,,
1961,LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952115934.094736,1.87788038679467,,,,,
1961,LKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17083517.0835171,1.18327272727273,,,,,
1961,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240786.51282378,1.00015206896733,,,,,
1961,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48275957.4665694,2.70243362831858,,,,,
1961,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8482781.25037978,1.50215208034433,,,,,
1961,MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838348408.33857,4.4126317048465,,,,,
1961,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86400000.0,0.651780325890163,,,,,
1961,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3922368.09916008,2.70224719101124,,,,,
1961,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85617085.6170856,6.12346049864824,,,,,
1961,MNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41537953768337,,,,,
1961,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42466728.9512025,2.23290965304019,,,,,
1961,NAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51557591486.142,8.81384929748463,,,,,
1961,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28279988.6880045,0.849453322119428,,,,,
1961,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551530519.833364,4.08728387914001,,,,,
1961,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165059933.976026,3.00420435724296,,,,,
1961,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96678751.2194031,2.48562702120014,,,,,
1961,OED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73449685067.6304,6.46216089601416,,,,,
1961,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210105210.10521,4.09789064099939,,,,,
1961,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63020431.2984073,2.64475743348983,,,,,
1961,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128712871.287129,1.70290804296568,,,,,
1961,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4025000000.0,,,,,,
1961,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129287745.313144,3.88750179030931,,,,,
1961,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7187461.3157632,2.27914968110271,,,,,
1961,PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68509340045.7839,6.59482785861952,,,,,
1961,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794666666.666667,,,,,,
1961,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975576975.576975,2.23167916446279,,,,,
1961,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71555555.5555556,,,,,,
1961,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20505456.6341183,1.84496124031008,,,,,
