year,country,Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",GDP per person employed (constant 2021 PPP $),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
2015,OMN,5.24952778651822,33.253,1.0846461586729,3.76114942128048,67.003,2.67650326260758,96.2388505787195,0.711875010893706,76424.3752535112,37.4410937188956,57.3093326263509,14.647,56.617,39.184,31.14,89.219,71.404,33.9965219778963,87.406,69.362,2256906.0,12.324,,15.135,29.382,11.49,18.922,1.973,,3.401
2015,OSS,13.9359981766571,27.1801477258588,4.63990123600175,27.9920012910953,53.788878678946,23.3521767832657,72.0080178184412,7.22433102158635,61064.1604826785,21.857451164164,64.2065120594433,31.1156156420994,38.2418838336175,34.8248978189734,53.8758751744176,73.4877424079049,64.2184935739094,71.7026323805542,68.8982138195729,58.9692853198535,5682228.0,24.6803876586307,,25.7875114288881,25.1809228961425,17.5127574674663,21.1897159572383,7.78312312580973,,8.78523372997352
2015,PAK,41.010007344777,37.622,1.41394820993043,60.594816091931,50.171,59.1808693798952,39.405183908069,22.0229829177389,15119.3507533482,24.0196466268624,34.9703460283606,20.735,58.621,40.315,25.116,81.009,53.71,30.3801477015062,78.943,52.026,69229075.0,5.741,6.614,6.682,54.837,7.574,30.41,2.813,3.566,3.566
2015,PAN,14.6731982763333,38.2,3.06934713278101,33.7289631116133,62.805,30.6595602039575,66.2710368883867,4.34720528835052,66113.5341307729,18.7167651465039,66.6099808022881,30.728,55.319,43.25,56.181,84.015,70.143,64.3514236432268,80.006,65.651,1874167.0,9.482,11.693,11.675,27.229,9.987,18.449,3.691,4.402,4.335
2015,PER,26.9786862288984,56.488,3.98645511330083,51.9526463180815,73.419,47.9661912047807,48.0473536819185,14.35622770723,27328.8830797948,17.4351522171199,55.5861615539817,55.834,65.585,60.659,71.339,87.375,79.326,80.2619403516265,84.294,75.903,16759049.0,7.11,6.728,6.877,21.525,15.586,18.586,3.211,3.272,3.272
2015,PHL,29.1891862177647,37.018,3.1484830751004,41.0215708311532,59.521,37.8730901565486,58.9784291688468,10.2163444429159,19445.0689335808,16.1899686113571,54.620847571374,31.27,49.129,40.46,50.184,75.668,62.954,65.3850287495298,74.436,61.405,42976583.0,7.501,8.467,8.509,28.851,17.177,22.843,2.968,3.068,3.068
2015,PNG,30.1090963431604,31.783,3.19983635918419,79.8918579816696,48.461,76.6919846331508,20.1081420183304,21.4019919496412,13436.0379051475,7.55455371998038,62.3363499368592,34.267,32.215,33.191,49.641,51.632,50.666,96.1713134823474,50.644,49.705,2772876.0,5.343,,4.242,35.735,29.114,32.263,3.31,,2.503
2015,POL,11.5341706462884,26.007,3.64521686544395,21.232439825323,52.608,17.587222959879,78.767560174677,2.95512582805015,70974.0399130611,30.5377687758555,57.9280605778562,26.936,38.389,32.789,61.67,75.052,68.363,75.3399874277479,65.223,56.859,18337515.0,20.656,20.738,20.684,11.611,12.061,11.841,7.336,7.475,7.475
2015,PRE,50.7681306320416,45.8572568780309,6.6875250711952,79.3352364291759,65.7711200690453,72.6477116730123,20.66476325578,19.2011778685817,11676.3901403933,11.6670695825722,37.5648001004116,46.2616095509755,54.4322100312325,50.372427292452,62.6966254284347,77.4161056390009,70.0021709028159,83.1376682387047,76.8213351020278,69.187184325489,333913559.0,9.77406221470839,,10.0309337354814,31.2194352493283,16.1996594686679,23.6627244304189,4.85925301207457,,4.93719170079883
2015,PRI,1.40271899213401,17.379,3.53492132559309,16.6833737422659,35.218,13.1485488964165,83.3165297779905,0.429238379256083,144344.811265346,13.6732057420884,84.9240752657776,18.342,28.906,23.648,40.561,59.517,49.631,64.9372572149118,49.169,40.02,1161579.0,30.164,,26.508,21.011,14.788,17.886,13.727,12.0,12.0
2015,PRK,49.3123459340053,72.342,2.48384826075249,88.1709780031552,79.61,85.6871236171271,11.8290219968447,39.3232648503019,,14.6498400445528,36.0378078961663,80.269,75.014,77.584,86.003,90.106,88.063,89.3195153722895,86.747,81.984,16812704.0,6.201,,6.757,15.51,9.196,12.284,2.811,,2.896
2015,PRT,7.51088291937111,22.817,5.63801965555791,18.4022548302423,51.25,12.7642571293331,81.5977451697577,0.505308194967819,81515.9719455943,24.3493739851464,68.1397430954825,32.82,34.213,33.528,70.296,76.671,73.386,83.8335415365396,64.04,58.536,5196241.0,29.583,31.953,31.947,12.163,10.404,11.269,12.161,12.447,12.447
2015,PRY,22.106474302181,48.149,4.98345112299665,43.7685616872791,64.831,38.7850747092786,56.2314741677247,7.98279390077701,31861.2792224227,19.1041555590853,58.7893701387338,40.269,67.339,54.053,57.945,83.918,71.029,67.6580200903324,81.034,67.926,2922145.0,10.38,11.05,10.922,24.302,10.845,17.45,4.293,4.556,4.556
2015,PSE,8.65751655235388,19.39,6.32573199641734,31.3605058490984,33.852,25.034773852681,68.6393850564618,6.69174384189161,29955.3692675493,28.7315480391911,62.610935408455,10.547,51.52,30.884,18.935,73.72,45.955,25.4212630121894,70.799,43.967,1124303.0,33.306,37.446,37.215,37.132,26.014,31.614,20.085,23.005,23.005
2015,PSS,36.9933841618969,44.8777912579954,1.8259220043288,54.2015761712303,63.1473999950938,52.3756541678528,45.7984238287697,30.1280008569118,17903.514911454,12.2627117867947,50.7439040513084,43.0706179934858,54.7471657698016,48.9578444871693,56.0829847800398,78.9232141543481,67.5920396621678,72.3894879812765,76.9097164925093,65.3578729133403,905865.0,7.89830086167479,,9.95718723796923,24.4041532364116,13.3222750209573,18.8169632704078,3.04657397908599,,3.38209145071285
2015,PST,3.4394665493011,39.276044625997,3.56893190691002,12.6318722929099,55.8787707994058,9.06294136057017,87.3681280967631,1.00161294817722,112017.065585352,22.2126778764783,74.347856156906,44.7113884673587,47.0466111690741,45.9150651358532,66.6865352708999,78.8435540451103,72.8026585539669,79.3557511472979,67.2256212912512,60.0121292120654,551363527.0,16.4454838471278,15.9909420330749,15.8103764774685,12.1594823027164,11.1602012046787,11.6441565104047,6.91128230415628,6.84432303522377,6.88732464298699
2015,PYF,2.47386189848702,25.839,2.37863937595583,17.263170044341,49.327,14.8845306683852,82.736829955659,0.329912376042398,,15.2230996373849,82.303038464128,35.164,44.997,40.101,53.894,68.4,61.187,77.8608468806668,62.866,55.92,117862.0,32.464,,35.564,28.366,19.756,24.044,11.003,,11.789
2015,QAT,1.23297366564313,70.556,0.277224001389142,0.422952059205595,87.125,0.145783008064499,99.5771028910425,0.0033519651307706,164155.454031972,54.141270493695,44.6258107909099,38.89,80.44,70.96,57.007,95.961,87.923,58.6274058095457,95.498,87.274,1760771.0,0.227,0.6,0.569,24.935,2.594,7.692,0.062,0.17,0.17
2015,ROU,25.5856628818905,20.895,1.12474850649825,28.9751681880325,47.859,27.8504196815342,71.0248442791135,9.56700106045543,72290.164072016,28.4593026227634,45.9550469624921,21.3,32.1,26.801,50.396,69.522,59.937,70.1884496480958,60.812,51.358,8583504.0,20.831,21.661,22.038,21.338,14.949,18.084,7.543,6.812,6.812
2015,RUS,6.70979426916378,31.704,1.29176395369353,7.26000066381691,59.227,5.96823531261409,92.7399993361831,0.36696357916104,73027.3383601722,27.181121047014,66.1090846838223,33.799,41.872,37.925,68.502,79.579,73.809,77.9372398424689,71.351,62.75,75464271.0,15.676,16.149,16.403,14.87,9.88,12.32,5.862,5.615,5.615
2015,RWA,63.5928033269143,36.987,1.1195485681576,44.2880731912414,53.503,43.168551907186,55.7118995246564,3.81764615684321,7103.29643025243,9.52367959951303,26.8835170735727,42.322,46.453,44.352,56.621,68.782,62.441,80.9045226130653,67.461,60.688,4157309.0,15.409,,16.606,30.093,20.893,25.572,11.147,,11.838
2015,SAS,43.810191355105,27.2853467828534,1.65075296429438,73.9372006734817,49.3122019475527,72.2864475456864,26.0627991630142,17.1668398774621,17953.1315013371,24.3387317656188,31.851076715773,17.6292617482835,49.4705509833207,34.1761906876112,28.4932500618007,80.6055455805272,55.2252601583468,34.6549105931616,77.9578459743454,52.9713802713781,656990755.0,20.8587290366136,,20.8559305609465,47.5024527903899,11.3472181638393,28.7132197883417,6.67368339737682,,6.90755040475197
2015,SAU,5.92844001125313,13.368,0.890864852252157,3.12687177210582,56.403,2.23600691985365,96.8731361215035,0.0240912955907246,125363.69599127,23.770688755301,70.3008712334459,8.46,25.95,18.607,22.458,80.367,61.054,27.3569875069546,79.084,59.749,13349016.0,20.858,,28.156,28.249,13.254,19.55,2.85,5.6,5.6
2015,SDN,42.9838373833995,21.395,8.34278300507091,54.0904538912202,38.214,45.7476593021202,45.9095461087798,16.0731299757025,19284.1091135707,14.1876902314779,42.8284723851226,15.29,41.869,28.616,23.873,67.692,45.192,34.9334131378124,66.83,44.615,10078437.0,22.039,,25.233,52.039,24.668,38.316,10.35,,14.347
2015,SEN,31.2923779889552,25.793,0.844027696016595,66.5865780842654,42.413,65.7425223558434,33.4134219157346,23.9384969024192,14701.5484760912,18.3182799316009,50.3893420794438,22.83,33.259,28.05,35.368,58.965,47.03,59.4785736737331,57.266,45.486,3825810.0,7.398,8.054,8.045,43.374,29.167,36.263,6.408,6.757,6.757
2015,SGP,0.245614980933622,37.005,5.71721774339726,13.9904177003906,66.895,8.27319995699337,86.0095822996094,0.381761344781526,185723.940140644,17.2298273940489,82.5245576250175,39.79,41.3,40.618,67.229,80.967,74.548,79.6168831168831,77.0,69.53,3360400.0,7.552,9.35,8.894,6.766,8.007,7.446,3.655,3.79,3.79
2015,SLB,40.7478490242066,70.05,1.04858125804866,69.4645423382958,83.734,68.4162721396532,30.5354576617042,55.8239652608855,5300.04343301991,9.25432839163623,49.997511524751,71.956,70.027,70.972,84.271,87.305,85.815,95.7289756505188,86.162,84.354,323862.0,1.03,,1.298,9.051,5.155,7.063,0.708,,0.735
2015,SLE,56.5377565798648,27.139,2.64315654869378,89.2203873044634,53.605,86.577185184105,10.7796126955366,6.3991731477169,8342.79205118659,6.675929867031,36.7863135531042,34.048,25.177,29.597,56.692,57.576,57.13,96.1012455081464,57.326,56.193,2300301.0,12.365,,8.303,34.197,31.306,32.746,5.559,,4.606
2015,SLV,18.1105149998995,38.333,4.42152430325316,40.422448610525,56.342,36.0008841199992,59.577551389475,6.88580786464927,23971.0095057868,22.1773062471115,59.7121787529889,28.427,55.006,41.968,48.349,77.417,61.884,60.4374983245315,74.606,58.688,2591980.0,8.04,8.924,8.661,41.811,15.763,28.541,4.371,3.998,3.998
2015,SMR,,,,,,,,,,,,,,,,,,,,,,,28.05,,,,,,7.38,
2015,SOM,29.5252763631847,10.909,6.27102223326295,53.0733573469134,27.832,46.8023351136505,46.9266426530866,12.3428145571979,9215.58299168929,16.3705378213886,54.1041858154267,12.171,20.547,16.407,21.722,48.503,35.042,44.0034403910298,47.669,34.19,2472573.0,31.751,,33.508,49.808,37.226,43.445,16.12,,18.597
2015,SRB,19.4086715066671,16.484,3.77442898601028,30.1592572238452,42.176,26.3848282378349,69.8407813418949,8.12584001002709,50509.7751533543,24.4583152556426,56.1330132376903,22.635,35.434,29.036,55.664,71.663,63.467,72.0322768488479,60.105,51.222,3113181.0,40.11,43.162,43.23,20.073,20.653,20.363,16.789,17.66,17.66
2015,SSA,51.9201836810559,47.1856579440919,5.8300536291067,77.3485552301538,66.5488546194409,71.5185026284472,22.6514442532023,19.8946984985997,11657.6309824519,11.3534554751276,36.7263613604505,49.2969937556086,54.9319054327424,52.1299166272084,66.2107671365407,77.5102081878969,71.8023009783271,85.4639148464317,76.7597989859933,70.6877971594935,411194294.0,10.9382308378959,,11.3862047322082,27.4499495574493,15.900396825182,21.6433619876458,5.55097052806247,,5.85502520009926
2015,SSD,59.0968747979142,51.137,1.14191960462705,79.4117661467795,64.573,78.2698465421525,20.5882583484714,31.2713476111252,,14.84860465253,26.0545205495558,65.894,61.093,63.483,73.277,76.234,74.722,94.4836577207722,75.938,73.786,4664883.0,20.854,,19.447,33.58,27.399,30.476,11.309,,12.485
2015,SSF,51.920183681056,47.1856579440919,5.8300536291067,77.3485552301538,66.5488546194409,71.5185026284472,22.6514442532023,19.8946984985998,11657.6309824519,11.3534554751276,36.7263613604505,49.2969937556086,54.9319054327424,52.1299166272084,66.2107671365407,77.5102081878969,71.8023009783271,85.4639148464317,76.7597989859933,70.6877971594935,411194294.0,10.9382308378959,,11.3862047322082,27.4499495574493,15.900396825182,21.6433619876458,5.55097052806247,,5.85502520009926
2015,SST,16.2921538548588,30.781040681125,4.18420207935729,30.8489664652085,54.9040958204901,26.6648343427729,69.1510193441407,9.37487467341429,53709.2000380979,20.3470749470343,63.3607290198146,33.7045822267618,43.1450324270477,38.5726519471521,54.5207962542716,74.6215735321728,64.9686733493006,71.78054157684,70.2320730756017,60.0524073562801,7781291.0,21.8184651719119,,23.3720511744755,26.9116120793255,17.8539989465877,22.2410762790308,7.56901095352741,,8.57328851446373
2015,STP,13.3237306445805,20.621,9.39863161685272,44.8325531148722,21.485,35.4379226183331,55.1674468851278,4.49325811227144,41753.9680873566,21.8501180330493,64.830152442684,22.09,25.203,23.648,22.645,25.3,23.972,90.2421652421653,25.272,24.031,27955.0,10.636,,12.8,50.271,47.929,49.099,9.294,,10.594
2015,SUR,7.2458142362735,32.016,3.57824338228416,22.5007015246469,51.55,18.9224581423627,77.4988307922552,4.11888504349453,63454.8616987805,27.1606959124497,65.5934898512768,27.245,45.989,36.811,48.878,71.78,60.534,66.5696627865115,66.664,55.561,230457.0,8.59,13.41,13.027,18.59,11.744,15.096,4.396,7.22,7.22
2015,SVK,3.09843696966844,23.339,3.11813278697054,15.1572733721634,52.773,12.0390992941713,84.8427679188582,0.153024526041009,74993.0656594424,36.206775526316,60.6948287950372,24.888,38.366,31.784,64.416,77.657,71.069,76.524417199611,67.862,59.625,2738069.0,25.927,26.522,26.571,14.383,13.582,13.973,10.337,11.492,11.492
2015,SVN,6.94881979637492,29.63,3.69725390955359,16.9174477077504,52.43,13.2201937981968,83.0825522922496,3.9296639077491,86293.7919716409,32.0492083058855,61.0020806021354,31.693,38.9,35.4,68.241,75.382,71.912,82.8867254392085,63.068,57.591,1012244.0,17.632,16.287,16.299,9.043,9.943,9.506,8.048,8.962,8.962
2015,SWE,2.03610707390616,43.907,3.3048022066222,10.2594624945977,59.19,6.95468114609527,89.7405375054022,0.245646076087083,120545.548787128,18.2878779282714,79.6760149978224,56.518,53.838,55.135,79.913,83.526,81.753,89.9656959562809,67.339,63.942,5179071.0,21.18,20.401,20.365,6.599,7.006,6.809,7.561,7.432,7.432
2015,SWZ,13.5054883197298,13.192,2.23121305938643,35.9791021671827,39.343,33.7478891077962,64.0208978328173,2.84688995215311,37098.0969636828,25.0791584576414,61.4153532226288,25.124,25.709,25.415,48.853,57.61,53.082,83.5124489832291,56.109,51.284,370509.0,45.67,,48.094,41.415,30.085,35.79,21.556,,23.285
2015,SYC,,,,,,,,,,,,,,,,,,,,,,,13.552,,,,,,4.151,
2015,SYR,16.3350384596726,17.208,2.08046076143144,36.6744646100938,32.133,34.5940038486624,63.3255353899062,2.43495275416534,27757.3586432389,22.3507565262857,61.3142050140417,9.458,42.031,26.359,13.501,65.407,39.372,20.1121679970683,62.763,37.47,4326658.0,31.285,,34.715,42.999,28.271,35.357,11.761,,14.243
2015,TCD,70.5581611600141,40.0,0.990320669566252,91.2123889511734,60.962,90.2220900382896,8.78761104882656,20.3896882898356,7054.54175928755,7.79781253963796,21.644026300348,37.054,44.009,40.569,50.688,72.614,61.593,69.3030024299502,72.841,61.562,4641540.0,2.048,,1.403,47.716,25.413,36.445,1.207,,0.974
2015,TEA,30.3705423187592,45.8216343472464,3.87612239130835,49.7712941499449,65.9331631744832,45.895171949548,50.2287063238282,13.1640478367989,25859.4072811316,26.920414645763,42.7090432247877,46.2829313224782,55.5834841241563,51.1648106763926,66.4666345015622,82.1202120456963,74.4273902133684,78.9447250964234,76.980812546429,68.7767013706093,1102031857.0,11.0184929812178,,10.5720347688282,18.965723151528,11.9835761485914,15.3009713148828,4.49240791984374,,4.13498800489396
2015,TEC,15.0249332199542,31.0384731178177,3.05954549446494,21.9986807096728,53.7353465618119,18.9391336865928,78.0013228650724,4.57011812714436,60124.4839566158,26.2503269798869,58.7247402249125,31.0740729646928,43.9808484877913,37.6449110770832,58.1092272114053,75.8120414539481,66.7781457124256,72.0396530177784,68.6146300711774,58.1816007633417,211223574.0,17.3840491655751,20.0191097338589,18.0501055278781,22.1895108063874,13.6410005298102,17.8375029500793,7.81711114685777,7.52687724856054,7.64210348176057
2015,TGO,36.4993182235952,24.375,1.26803748339652,85.2206396195378,56.874,83.9526021361413,14.7793995742768,21.3750522747502,6960.69394272583,18.8255338295532,44.6751479468516,28.358,22.647,25.474,56.692,61.296,59.002,91.7929521956368,60.643,58.155,2608912.0,3.963,3.878,4.315,15.765,6.007,10.838,2.678,2.204,2.204
2015,THA,32.3344998822289,40.839,2.84518412106747,51.5771941689601,68.856,48.7320100478926,48.4228058310399,17.0587003552693,33360.6602095733,23.7199809001848,43.9455217316462,34.454,49.53,42.143,67.963,83.431,75.594,78.3706783706784,77.922,69.269,40014953.0,2.553,3.103,3.094,18.072,9.286,13.591,0.589,0.597,0.597
2015,TJK,48.361204822776,19.709,3.6114674036679,31.5112074848865,37.529,27.8997400812185,68.4887925151135,15.1592668063871,12724.8466283528,17.5033760400381,34.1354191371858,22.254,30.666,26.353,33.311,54.782,43.623,60.109075288097,53.541,42.399,2334117.0,27.897,,25.212,49.565,27.514,38.819,12.185,,11.485
2015,TKM,26.679228952607,28.383,3.06059819231673,32.1243864139372,46.282,29.0638376794392,67.8756135860628,2.59984915365308,40142.0969783983,30.9678647823238,42.3529062650692,37.496,24.918,31.133,51.877,48.958,50.454,103.466694816848,47.365,48.219,2106551.0,13.616,,8.833,21.476,20.621,21.043,5.73,,4.016
2015,TLA,13.8049255913548,41.3345657054903,4.11609069018843,36.1405199217353,59.4556281118045,32.0244284785511,63.8594797017558,4.80933769618728,42220.5143407829,21.7973894302275,64.39768422542,38.5423106970065,58.2655610910272,48.5150835726258,55.6276951142034,81.2914740506109,68.2925051769414,66.7077201776268,77.0331303117879,63.7384460894281,284737775.0,12.492542382972,14.0164648844789,14.76325304276,29.2844102601836,13.1349763136586,21.1187378208782,5.78044481460233,6.56592700954803,6.71903446791338
2015,TLS,50.3125317183747,36.531,17.6808793179281,79.3139104103935,64.46,61.6330310924654,20.6863010454376,36.8821260615083,11385.7539565846,10.98195858849,38.7055096931353,36.795,43.048,39.952,61.518,72.508,67.085,84.6964278317063,72.421,66.922,490971.0,9.698,9.602,8.563,25.236,16.149,20.648,4.2,3.678,3.678
2015,TMN,19.8094789167919,19.8001171451366,6.49934202781499,37.5526632596083,37.9699770858087,31.0533212318122,62.4473367403917,6.80562721920842,47167.6416292001,26.9032836012334,53.2872395161142,13.1845512187066,42.1260501024093,28.0201130903555,19.0419166046651,71.6449627080548,45.7238389580952,26.4803425525532,68.4305082117336,43.2931795430897,112105557.0,26.8881604853512,28.5490734506616,29.5289678577649,46.1281869576816,19.501099362548,32.4788840718027,10.1558296208544,11.8423544812659,12.2953909899345
2015,TON,31.6564451074645,28.06,13.7355655008564,52.8620365766064,53.926,39.12647107575,47.1379634233936,5.35664953864854,18156.258741819,26.5069893364274,41.8393281396762,22.8,36.708,29.8,45.718,69.405,57.253,63.5216230960912,67.821,55.04,36946.0,3.043,,5.84,30.045,25.051,27.532,1.469,,2.024
2015,TSA,43.810191355105,27.2853467828534,1.65075296429438,73.9372006734817,49.3122019475527,72.2864475456864,26.0627991630142,17.1668398774621,17953.1315013371,24.3387317656188,31.851076715773,17.6292617482835,49.4705509833207,34.1761906876112,28.4932500618007,80.6055455805272,55.2252601583468,34.6549105931616,77.9578459743454,52.9713802713781,656990755.0,20.8587290366136,,20.8559305609465,47.5024527903899,11.3472181638393,28.7132197883417,6.67368339737682,,6.90755040475197
2015,TSS,51.9201836810559,47.1856579440919,5.8300536291067,77.3485552301538,66.5488546194409,71.5185026284472,22.6514442532023,19.8946984985998,11657.6309824519,11.3534554751276,36.7263613604505,49.2969937556086,54.9319054327424,52.1299166272084,66.2107671365407,77.5102081878969,71.8023009783271,85.4639148464317,76.7597989859933,70.6877971594935,411194294.0,10.9382308378959,,11.3862047322082,27.4499495574493,15.900396825182,21.6433619876458,5.55097052806247,,5.85502520009926
2015,TTO,3.42632717477268,41.032,5.47097497103227,22.2305222963098,61.515,16.7595473252775,77.7694777036902,0.309837992928903,79925.7568397583,27.9356442437336,68.6380285814938,35.905,51.075,43.59,57.939,80.513,69.157,69.6717794701276,74.584,63.045,684099.0,5.255,5.862,5.869,16.364,9.357,12.814,2.057,2.428,2.428
2015,TUN,14.7513561106348,18.834,6.7363852735895,26.3948009062513,40.296,19.6584156326618,73.6051990937487,2.61157164305168,41962.4384878112,33.1041882616289,52.1444556277363,18.226,39.409,28.96,28.76,74.966,51.645,37.4060258249641,69.7,47.496,4077697.0,33.87,35.038,34.967,32.423,27.49,29.923,12.415,15.159,15.159
2015,TUR,20.4049356921947,34.324,4.53957426454913,33.1161117828817,46.014,28.576541085677,66.8838882171183,11.6597155770522,73490.2555737485,27.2249812857109,52.3700830220944,29.558,53.948,42.012,34.692,76.27,55.684,44.0098621539841,71.384,51.3,30550902.0,16.339,18.536,18.299,33.963,14.228,23.886,9.255,10.304,10.304
2015,TZA,67.626332152302,69.502,2.47327867242622,86.4432420269625,82.114,83.969967574565,13.5567579730375,34.6004251003765,6629.20406857146,6.47888776584546,25.8947843018813,70.03,74.159,72.099,81.609,88.756,85.102,91.0839757145781,87.954,83.926,24219289.0,2.858,,3.602,18.967,10.338,14.644,1.56,,2.159
2015,UGA,72.3150064358999,57.155,2.52213919348854,78.3083789240316,73.025,75.7862467570182,21.6916140494932,8.22524096769459,6645.66481103676,6.77766764168378,20.9073188959412,58.447,60.48,59.46,74.124,77.451,75.759,94.9384671305431,77.032,75.036,14623758.0,3.407,,3.877,21.607,13.136,17.386,2.154,,2.679
2015,UKR,15.2573701435337,27.823,1.31189150779424,19.021768126432,51.147,17.7098766186378,80.978231873568,2.65819320221056,33665.0529982981,24.6904478619296,60.0521819945367,32.326,39.392,35.953,62.971,71.039,66.89,79.506165043179,63.341,56.292,21887026.0,22.998,22.36,22.611,20.474,14.933,17.63,10.124,9.14,9.14
2015,URY,8.82360130951239,39.033,4.17512064349885,27.3243813632042,60.072,23.1492607197053,72.6756186367958,0.871817340195549,61296.2107188804,20.4642338017416,70.712164888746,44.212,56.743,50.61,68.903,83.252,76.036,75.6832327360228,74.389,64.934,1724536.0,20.328,22.536,22.875,22.255,15.357,18.733,6.36,7.488,7.488
2015,USA,1.78139159907865,44.206,2.7175037154345,6.44439466634234,58.979,3.72689095090784,93.5556053336577,0.067087848428763,135492.031464986,19.5552585711376,78.6633498297838,48.904,51.074,50.026,65.749,77.209,71.583,81.4971298697514,68.638,62.267,161385944.0,12.769,11.624,11.634,13.362,11.584,12.442,5.366,5.28,5.28
2015,UZB,15.7446498927664,33.081,12.1949824139264,48.2176642357474,53.997,36.0226734208973,51.7823357642526,3.58545541365182,19450.9867916428,26.9120985314093,57.3432431749006,26.773,47.522,37.406,43.95,77.271,60.785,55.3540504792942,73.337,56.928,12549658.0,10.873,,11.564,27.218,16.937,21.949,5.274,5.15,5.15
2015,VCT,11.2053498613603,31.108,5.7180138406692,26.0106717617727,52.587,20.2926579211035,73.9893282382273,1.21397115362211,35802.950242965,19.0553859775846,69.7392641610551,37.381,67.463,53.094,60.494,82.437,71.897,71.0857233527708,75.627,65.036,53077.0,41.643,,41.41,33.182,25.549,29.195,20.604,,19.141
2015,VEN,6.33385903085572,31.28,3.50879291470645,34.9549059807779,57.886,31.4461051967408,65.0451018885528,0.839720541180168,,21.3002400696719,72.3659008994724,24.059,47.636,36.091,52.165,78.995,65.479,63.8669471678641,75.579,61.671,13538387.0,11.356,,13.331,27.403,13.405,20.26,5.85,,6.137
2015,VIR,1.63408158339368,23.954,3.59884141926141,11.0234129857591,51.365,7.4245715664977,88.9765870142409,0.224475018102824,103414.852571036,16.842867487328,81.5206372194062,30.373,35.091,32.724,64.412,74.462,69.204,83.1531363593998,64.374,58.651,50829.0,22.469,,26.802,23.534,12.534,18.052,11.45,,12.422
2015,VNM,44.018450646557,55.163,2.90097337630771,60.6637890264659,75.999,57.7628156501582,39.3362128385469,17.1740844381576,16009.8086878279,22.7436711069265,33.2378782465164,55.064,62.554,58.852,78.133,85.587,81.765,88.4077314146353,82.417,77.43,54628714.0,6.096,6.675,6.267,13.27,8.754,10.986,1.985,1.849,1.848
2015,VUT,56.4390146204687,35.884,1.43147775306482,65.2144581361274,57.993,63.7829803830626,34.7855418638726,2.40758113991167,9141.87842386921,7.09730464755921,36.4636807319721,37.949,43.023,40.41,56.725,67.899,62.306,83.698296836983,66.582,61.209,100128.0,10.006,,11.202,37.949,29.053,33.633,4.347,,5.254
2015,WSM,28.9430659742258,36.311,2.82426107584792,47.194973392319,49.921,44.3707123164711,52.805026607681,12.3581457972687,20804.2319590477,14.3360902737706,56.7208437520036,35.402,52.826,44.315,44.503,70.663,57.872,61.2111558485613,67.803,54.798,68483.0,13.975,,18.061,34.695,23.011,28.718,7.246,,8.9
2015,XKX,,,,,,,,,,,,,,,,,,,,,,,57.709,,,,,,32.84,
2015,YEM,29.8699589250206,14.704,6.93749422294678,51.104866013237,26.328,44.1673717902902,48.895133986763,11.3014147256641,,12.7180686941669,57.4119933406427,4.248,38.716,21.847,5.438,59.906,33.066,8.90039827017418,58.503,32.068,5811186.0,32.053,,32.695,69.002,24.529,46.294,16.856,,17.9
2015,ZAF,15.4375956944828,15.521,5.15949573990143,14.5882979057799,43.184,9.42880786028389,85.4117020942201,0.563079889774533,47027.8615960027,21.3654375558336,63.1969667496835,26.968,34.329,30.702,54.957,67.882,61.226,78.4091258493989,65.046,57.693,23461405.0,45.451,50.13,49.447,33.1,27.973,30.499,23.151,25.149,25.149
2015,ZMB,53.8021731297115,32.718,0.81202470198195,73.4068843440568,55.349,72.5948395454382,26.5931156559432,6.20447483770459,11788.2662941808,11.5380418279338,34.659764945718,35.277,39.405,37.325,51.871,66.322,58.995,78.5305690072639,66.08,58.845,5290290.0,12.669,30.909,12.344,38.973,30.221,34.631,5.815,11.888,5.942
