year,country,"Access to electricity, urban (% of urban population)",Population density (people per sq. km of land area),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population)
1961,FRO,,24.7542979942693,,,4.73730534662318,7651.0,22.141
1961,FSM,,,,,4.60704785322312,10061.0,22.553
1961,GAB,,2.01135560988862,34.3238805027474,,6.37262024703934,94998.0,18.33
1961,GBR,,218.244946885463,19.738572856954,31.1495681818182,0.67118446676585,41381472.0,78.374
1961,GEO,,,45.4994913996644,19.8191219354142,2.70974374598143,1613251.0,43.559
1961,GHA,,31.4787158301837,24.1621003226753,8.98247817467991,5.16966426156462,1704500.0,23.797
1961,GIB,,2187.2,,,0.150991769895871,21872.0,100.0
1961,GIN,,14.730388246785,32.0702617764012,3.50720296522967,6.08572274226787,395834.0,10.936
1961,GMB,,40.4081027667984,76.1507188894398,,4.34489753150896,50425.0,12.331
1961,GNB,,20.7159317211949,34.4850838525992,,1.92014169678132,80081.0,13.747
1961,GNQ,,9.80021390374332,21.436224241328,,4.21743256697535,71869.0,26.144
1961,GRC,,65.1516679596587,39.4290301671542,22.2588696185424,1.71291716461349,4740951.0,56.453
1961,GRD,,280.397058823529,,,1.96101728832246,29095.0,30.519
1961,GRL,,0.0986245244366403,,,5.77510566207032,20155.0,59.806
1961,GTM,,39.064958939903,47.880096731114,15.2105453130416,5.02872929460775,1329872.0,31.768
1961,GUM,,132.057407407407,,,4.67325010436153,36533.0,51.23
1961,GUY,,2.96155762289665,,,2.46892148534267,169230.0,29.049
1961,HKG,,3105.98039215686,99.8083390818039,85.1295413654872,1.80995211754872,2702168.0,85.293
1961,HND,,18.9582804540173,27.4165994448387,6.39299995002928,5.30877337911209,494631.0,23.318
1961,HPC,,10.2989753361999,29.8222006046625,4.50418260817866,5.29790108602046,21400280.0,12.7660052269012
1961,HRV,,,34.0848702810223,,3.5485834139734,1293527.0,31.04
1961,HTI,,142.562772133527,41.9449609105523,6.70071238957198,4.23325036460473,627663.0,15.975
1961,HUN,,111.387394491337,32.2878971359029,18.1893868986744,1.208723214942,5650018.0,56.335
1961,IBD,,38.3320250232547,15.8289408714265,10.9452723541615,3.37032354061691,510764466.0,26.6632377388361
1961,IBT,,32.805997566422,16.8894973023195,10.0695087231905,3.50492692111017,567313769.0,24.4524655410006
1961,IDA,,19.5147180997333,26.6021993639384,5.57307496447527,4.73676224913848,56549303.0,13.9816161633507
1961,IDB,,29.8899754703332,20.4469576578279,,4.32128627186108,23464506.0,18.9415268333402
1961,IDN,,50.1174390169853,21.1624168569201,8.16052657233518,4.38502155601562,13456171.0,14.821
1961,IDX,,16.9294828029448,30.9176871230153,4.26403666324344,5.03343899811865,33084797.0,11.7917395210953
1961,IMN,,85.0017543859649,,,-0.45764967417346,26815.0,55.345
1961,IND,,150.197171724646,7.51517251533421,7.87593974982292,2.99716405666335,80524552.0,18.032
1961,IRL,,40.9986935694586,51.9838075627106,23.597011754709,0.312871936819442,1282080.0,45.393
1961,IRN,,13.5843991748324,26.096530656018,15.6337016918676,4.92650485424954,7608816.0,34.389
1961,IRQ,,16.4495804467613,34.9391431871277,21.5850658129838,5.93802389001674,3196684.0,44.432
1961,ISL,,1.78582543640898,,,2.57324794898277,144661.0,80.803
1961,ISR,,100.970425138632,45.7188850521018,47.569885583524,4.77114444242747,1703972.0,77.985
1961,ITA,,171.828057529496,8.34166693168887,16.1504204399408,1.498806985842,30249038.0,59.856
1961,JAM,,154.502400738689,73.7513316876705,,3.54124612211308,577275.0,34.5
1961,JOR,,10.1721554850408,50.6443898861716,26.5437153447394,8.00862843863605,470445.0,52.412
1961,JPN,,256.490319061903,28.717128552065,41.7156536069321,2.37231153377859,60395537.0,64.213
1961,KAZ,,,12.5439502219792,6.80407736126302,4.48835140571463,4359193.0,44.746
1961,KEN,,14.0348069016411,52.2200984651028,6.06743809598924,6.45011216466301,604275.0,7.565
1961,KGZ,,,32.257293836878,,4.7370938333966,778534.0,34.511
1961,KHM,,31.5611148878314,68.3417619977679,7.03441360949804,2.27723296544519,573440.0,10.293
